id,ans
0.0,0
1.0,0
2.0,0
3.0,1
4.0,0
5.0,1
6.0,0
7.0,1
8.0,1
9.0,1
10.0,1
11.0,0
12.0,0
13.0,1
14.0,0
15.0,1
16.0,0
17.0,1
18.0,0
19.0,0
20.0,1
21.0,1
22.0,0
23.0,0
24.0,0
25.0,0
26.0,1
27.0,0
28.0,0
29.0,1
30.0,1
31.0,0
32.0,0
33.0,0
34.0,0
35.0,0
36.0,0
37.0,0
38.0,0
39.0,1
40.0,0
41.0,0
42.0,0
43.0,0
44.0,0
45.0,0
46.0,1
47.0,0
48.0,0
49.0,1
50.0,1
51.0,1
52.0,1
53.0,0
54.0,0
55.0,0
56.0,0
57.0,1
58.0,0
59.0,1
60.0,1
61.0,0
62.0,0
63.0,1
64.0,1
65.0,1
66.0,1
67.0,0
68.0,1
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,1
75.0,0
76.0,1
77.0,1
78.0,0
79.0,1
80.0,1
81.0,0
82.0,0
83.0,0
84.0,1
85.0,1
86.0,0
87.0,1
88.0,0
89.0,1
90.0,0
91.0,0
92.0,0
93.0,1
94.0,1
95.0,1
96.0,1
97.0,1
98.0,0
99.0,1
100.0,0
101.0,0
102.0,1
103.0,0
104.0,1
105.0,0
106.0,1
107.0,0
108.0,1
109.0,1
110.0,1
111.0,0
112.0,0
113.0,0
114.0,0
115.0,0
116.0,0
117.0,0
118.0,0
119.0,1
120.0,0
121.0,0
122.0,0
123.0,1
124.0,1
125.0,0
126.0,0
127.0,1
128.0,0
129.0,1
130.0,0
131.0,0
132.0,1
133.0,0
134.0,1
135.0,1
136.0,1
137.0,0
138.0,1
139.0,1
140.0,0
141.0,0
142.0,1
143.0,1
144.0,1
145.0,0
146.0,0
147.0,0
148.0,1
149.0,0
150.0,0
151.0,0
152.0,0
153.0,1
154.0,1
155.0,0
156.0,0
157.0,1
158.0,0
159.0,1
160.0,0
161.0,1
162.0,0
163.0,1
164.0,1
165.0,0
166.0,1
167.0,0
168.0,0
169.0,0
170.0,1
171.0,1
172.0,0
173.0,0
174.0,0
175.0,1
176.0,1
177.0,1
178.0,0
179.0,0
180.0,1
181.0,0
182.0,0
183.0,0
184.0,1
185.0,0
186.0,0
187.0,1
188.0,1
189.0,0
190.0,1
191.0,0
192.0,0
193.0,1
194.0,0
195.0,0
196.0,0
197.0,1
198.0,1
199.0,1
200.0,0
201.0,1
202.0,1
203.0,0
204.0,1
205.0,0
206.0,1
207.0,0
208.0,0
209.0,0
210.0,1
211.0,0
212.0,0
213.0,0
214.0,0
215.0,0
216.0,0
217.0,0
218.0,1
219.0,0
220.0,1
221.0,0
222.0,0
223.0,0
224.0,0
225.0,1
226.0,0
227.0,1
228.0,1
229.0,0
230.0,1
231.0,1
232.0,0
233.0,1
234.0,0
235.0,0
236.0,1
237.0,1
238.0,1
239.0,0
240.0,0
241.0,1
242.0,1
243.0,1
244.0,0
245.0,0
246.0,1
247.0,0
248.0,1
249.0,0
250.0,1
251.0,1
252.0,1
253.0,1
254.0,1
255.0,0
256.0,1
257.0,1
258.0,1
259.0,1
260.0,1
261.0,0
262.0,0
263.0,1
264.0,1
265.0,1
266.0,1
267.0,0
268.0,0
269.0,0
270.0,0
271.0,0
272.0,0
273.0,1
274.0,0
275.0,1
276.0,1
277.0,0
278.0,0
279.0,0
280.0,0
281.0,0
282.0,0
283.0,1
284.0,0
285.0,1
286.0,0
287.0,0
288.0,1
289.0,1
290.0,1
291.0,1
292.0,1
293.0,1
294.0,0
295.0,0
296.0,0
297.0,0
298.0,1
299.0,1
300.0,0
301.0,1
302.0,1
303.0,1
304.0,1
305.0,0
306.0,1
307.0,1
308.0,1
309.0,1
310.0,0
311.0,1
312.0,1
313.0,1
314.0,1
315.0,1
316.0,0
317.0,0
318.0,1
319.0,0
320.0,0
321.0,1
322.0,0
323.0,1
324.0,0
325.0,1
326.0,0
327.0,0
328.0,0
329.0,1
330.0,0
331.0,0
332.0,0
333.0,0
334.0,0
335.0,0
336.0,1
337.0,1
338.0,0
339.0,0
340.0,1
341.0,1
342.0,0
343.0,1
344.0,0
345.0,0
346.0,0
347.0,0
348.0,0
349.0,0
350.0,0
351.0,0
352.0,0
353.0,1
354.0,0
355.0,1
356.0,0
357.0,0
358.0,1
359.0,0
360.0,1
361.0,0
362.0,0
363.0,1
364.0,0
365.0,0
366.0,1
367.0,0
368.0,0
369.0,0
370.0,1
371.0,1
372.0,1
373.0,0
374.0,1
375.0,1
376.0,0
377.0,0
378.0,0
379.0,0
380.0,1
381.0,1
382.0,1
383.0,0
384.0,0
385.0,1
386.0,1
387.0,1
388.0,1
389.0,1
390.0,0
391.0,1
392.0,1
393.0,1
394.0,1
395.0,1
396.0,1
397.0,1
398.0,1
399.0,0
400.0,1
401.0,0
402.0,0
403.0,1
404.0,0
405.0,1
406.0,0
407.0,1
408.0,1
409.0,0
410.0,1
411.0,0
412.0,0
413.0,0
414.0,1
415.0,0
416.0,0
417.0,1
418.0,1
419.0,0
420.0,0
421.0,0
422.0,1
423.0,1
424.0,0
425.0,1
426.0,0
427.0,0
428.0,0
429.0,0
430.0,0
431.0,0
432.0,0
433.0,1
434.0,1
435.0,0
436.0,0
437.0,1
438.0,1
439.0,1
440.0,1
441.0,1
442.0,0
443.0,0
444.0,1
445.0,0
446.0,1
447.0,1
448.0,1
449.0,1
450.0,0
451.0,0
452.0,0
453.0,0
454.0,0
455.0,1
456.0,0
457.0,0
458.0,0
459.0,0
460.0,1
461.0,1
462.0,0
463.0,0
464.0,0
465.0,0
466.0,0
467.0,0
468.0,0
469.0,0
470.0,0
471.0,1
472.0,0
473.0,0
474.0,0
475.0,1
476.0,1
477.0,0
478.0,1
479.0,0
480.0,0
481.0,1
482.0,1
483.0,0
484.0,0
485.0,1
486.0,1
487.0,1
488.0,1
489.0,1
490.0,1
491.0,0
492.0,1
493.0,0
494.0,1
495.0,0
496.0,1
497.0,1
498.0,1
499.0,1
500.0,1
501.0,1
502.0,1
503.0,1
504.0,1
505.0,1
506.0,0
507.0,0
508.0,0
509.0,0
510.0,1
511.0,0
512.0,1
513.0,0
514.0,1
515.0,0
516.0,0
517.0,1
518.0,0
519.0,0
520.0,0
521.0,0
522.0,1
523.0,0
524.0,1
525.0,0
526.0,1
527.0,1
528.0,1
529.0,1
530.0,1
531.0,1
532.0,0
533.0,1
534.0,0
535.0,0
536.0,0
537.0,0
538.0,0
539.0,0
540.0,0
541.0,1
542.0,1
543.0,1
544.0,1
545.0,1
546.0,1
547.0,1
548.0,1
549.0,0
550.0,0
551.0,0
552.0,1
553.0,0
554.0,0
555.0,0
556.0,1
557.0,0
558.0,0
559.0,0
560.0,1
561.0,1
562.0,1
563.0,1
564.0,0
565.0,0
566.0,0
567.0,0
568.0,1
569.0,1
570.0,1
571.0,0
